iter	Passed	Remaining
614	1312	821
615	1313	818
616	1314	816
617	1316	813
618	1317	811
619	1319	808
620	1321	806
621	1323	804
622	1325	801
623	1326	799
624	1328	796
625	1329	794
626	1331	791
627	1332	789
628	1334	787
629	1336	784
630	1338	782
631	1340	780
632	1341	777
633	1342	775
634	1344	772
635	1345	770
636	1347	768
637	1349	765
638	1352	763
639	1354	761
640	1355	759
641	1357	757
642	1358	754
643	1360	752
644	1361	749
645	1363	746
646	1365	745
647	1367	742
648	1369	740
649	1371	738
650	1372	735
651	1373	733
652	1375	731
653	1377	728
654	1379	726
655	1381	724
656	1382	721
657	1384	719
658	1385	716
659	1386	714
660	1388	712
661	1390	709
662	1392	708
663	1397	706
664	1401	705
665	1403	703
666	1406	702
667	1409	700
668	1423	704
669	1428	703
670	1430	701
671	1433	699
672	1439	699
673	1441	697
674	1443	694
675	1447	693
676	1449	691
677	1450	689
678	1452	686
679	1453	684
680	1455	681
681	1457	679
682	1459	677
683	1462	675
684	1463	673
685	1465	670
686	1466	668
687	1467	665
688	1469	663
689	1470	660
690	1472	658
691	1473	655
692	1476	653
693	1477	651
694	1479	649
695	1480	646
696	1482	644
697	1483	641
698	1484	639
699	1486	636
700	1487	634
701	1490	632
702	1492	630
703	1493	628
704	1495	625
705	1496	623
706	1498	620
707	1499	618
708	1500	616
709	1502	613
710	1504	611
711	1506	609
712	1507	606
713	1508	604
714	1510	602
715	1511	599
716	1513	597
717	1514	594
718	1515	592
719	1518	590
720	1520	588
721	1521	585
722	1523	583
723	1524	581
724	1526	578
725	1527	576
726	1529	574
727	1530	572
728	1534	570
729	1536	568
730	1538	566
731	1540	563
732	1541	561
733	1548	561
734	1550	559
735	1552	557
736	1557	555
737	1567	556
738	1570	554
739	1573	552
740	1579	552
741	1582	550
742	1584	547
743	1586	545
744	1589	543
745	1592	542
746	1593	539
747	1596	537
748	1598	535
749	1600	533
750	1604	531
751	1606	529
752	1608	527
753	1609	525
754	1611	522
755	1613	520
756	1617	519
757	1619	517
758	1621	514
759	1623	512
760	1625	510
761	1627	508
762	1629	506
763	1632	504
764	1634	502
765	1636	499
766	1637	497
767	1638	495
768	1640	492
769	1641	490
770	1643	488
771	1644	485
772	1646	483
773	1647	481
774	1649	478
775	1650	476
776	1651	474
777	1653	471
778	1656	469
779	1659	468
780	1662	466
781	1664	464
782	1666	461
783	1668	459
784	1672	458
785	1674	455
786	1676	453
787	1677	451
788	1678	448
789	1680	446
790	1681	444
791	1683	442
792	1684	439
793	1686	437
794	1687	435
795	1689	432
796	1690	430
797	1692	428
798	1693	426
799	1695	423
800	1697	421
801	1699	419
802	1700	417
803	1702	414
804	1703	412
805	1705	410
806	1707	408
807	1708	406
808	1710	403
809	1711	401
810	1713	399
811	1714	397
812	1716	394
813	1717	392
814	1718	390
815	1720	387
816	1721	385
817	1723	383
818	1724	381
819	1725	378
820	1727	376
821	1729	374
822	1730	372
823	1732	369
824	1733	367
825	1734	365
826	1736	363
827	1737	360
828	1739	358
829	1741	356
830	1743	354
831	1745	352
832	1747	350
833	1749	348
834	1750	345
835	1752	343
836	1755	341
837	1757	339
838	1759	337
839	1761	335
840	1762	333
841	1764	331
842	1766	329
843	1770	327
844	1772	325
845	1774	323
846	1775	320
847	1777	318
848	1779	316
849	1781	314
850	1783	312
851	1785	310
852	1787	308
853	1789	305
854	1791	303
855	1795	302
856	1799	300
857	1802	298
858	1804	296
859	1805	293
860	1806	291
861	1809	289
862	1811	287
863	1813	285
864	1815	283
865	1816	281
866	1818	278
867	1819	276
868	1820	274
869	1822	272
870	1824	270
871	1826	268
872	1827	265
873	1829	263
874	1830	261
875	1832	259
876	1834	257
877	1836	255
878	1839	253
879	1841	251
880	1842	248
881	1844	246
882	1845	244
883	1847	242
884	1848	240
885	1852	238
886	1855	236
887	1856	234
888	1859	232
889	1860	229
890	1861	227
891	1863	225
892	1865	223
893	1867	221
894	1869	219
895	1870	217
896	1872	214
897	1873	212
898	1874	210
899	1876	208
900	1877	206
901	1880	204
902	1882	202
903	1884	200
904	1885	197
905	1887	195
906	1888	193
907	1891	191
908	1892	189
909	1895	187
910	1897	185
911	1898	183
912	1900	181
913	1902	178
914	1904	176
915	1910	175
916	1912	173
917	1914	171
918	1916	168
919	1919	166
920	1922	164
921	1926	162
922	1928	160
923	1932	158
924	1933	156
925	1935	154
926	1940	152
927	1942	150
